Table 5 Trap depths in all composites calculated using initial rise method from the TSC spectra
0,1,2
Samples,Trap depth,(eV)
,C5 peak,C4 peak
Untreated nanocomposite,0.37 + 0.1,1.1 + 0.1
Microcomposite,0.35 + 0.1,1.1 + 0.1
Vinylsilane-treated nanocomposite,0.41 + 0.1,1.12 + 0.1
Aminosilane-treated nanocomposite,2.4 + 0.1,1.12 + 0.1
HMDS-treated nanocomposite,2.0 + 0.1,1.14 + 0.1
