0,1,2
ac field (kV/mm),20 vol% BaTiO3 fibers,20 vol% BaTiO3 fibers +0.43 vol% GPLs
Low field,12,18.6
2,11.9,17.5
5,11.7,18.1
7.5,11.8,-
