Table 2. Calculated activation energies.
0,1
TiO2 nanocomposite,TiO2 microcomposite
Below T 1.3 + 0.1eV,1.1 I 0.1eV
Above Tg 1.8 + 0.1 eV,2.5 + 0.1 eV
