0,1
Sample Name,Activation Energy (eV)
XLPE + 5% untreated nanosilica,0.18 0 0.05
XLPE + 5% vinylsilane- treated nanosilica,0.18 0.09
XLPE + 5% microsilica,0.28 + 0.06
