Table 2. Weibull shape parameter (ß) for epoxy-ZnO composites.
0,1,2
Composition,Nanocomposites,Microcomposites
Unfilled,12.52,12.52
0.1%,20.97,not available
0.5%,34.37,26.21
1%,51.13,11.51
5%,36.13,13.30
10%,41.63,12.22
15%,not available,28.24
20%,14.15 *,19.20
