0,1,2
Composition,Shape Parameter (B),Scale Parameter (a)
Unfilled,8.789,52.30
0.1% nano,19.57,36.01
0.5% nano,18.01,39.98
1% nano,15.60,37.83
5% nano,9.237,37.18
5% micron,13.94,32.61
