0,1
Sample name,Activation energy (eV)
XLPE + 5% untreated nanosilica,0.18 + 0.05
XLPE + 5% AEAPS treated nanosilica,0.34 + 0.07
XLPE + 5% HMDS-treated nanosilica,0.31 + 0.04
XLPE + 5% TES treated nanosilica,0.18 + 0.09
XLPE + 5% microsilica,0.28 + 0.06
