0,1,2,3,4,5,6
,,Elemental Analysis,,,,
OFG in PI (Feed wt %),N (%),C (%),H (%),OFG in PI (Measured wt %)a,OFG in PI (Measured mol %),OFG in PI (vol %)
0%,7.26,67.54,3.15,0,0,0
3%,6.80,66.33,3.23,7.47,1.14,8.37
7%,6.58,65.83,3.26,10.95,1.72,12.22
10%,6.35,64.39,3.27,15.03,2.46,16.69
15 %,6.20,62.46,3.28,18.11,3.05,20.03
